BEDOVY              03003500003003
NEUDERZHIMYY        03003500003003
PROZORLIVYY         03003500003004
NEULOVIMYY          03003500003004
GORSHKOV            03003500003005
ELIMININATE-1       10000750000501
KIEV                01037000017001
MINSK               01037000017002
KHARKOV             01037000017004
NOROROSSIYSK        01037000017001
LENIN               05002760000602
AZOVIN              05002760000602
TROTSKY             05002760000604
BRESNEV             05002760000601
KIROV               02023000009005
ZHANDOV             02017200010104
SVERDLOV            02017200010101
ELIMININATE-2       10000750000505
MOSKVA              02017000008501
LENINGRAD           02017000008502
POTEMKIN            02017000008503
OCHAKOV             02009700005205
KARA                02009700005203
NIKOLAYEV           02009700005205
KERCH               02009700005201
ELIMININATE-3       10000750000502
PETROPAVLOVSK       02009700005205
TASKENT             02009700005201
TALLIN              02009700005204
ZHDANOV             05005700000801
ADMIRAL ISAKOV      02007600003801
ADMIRAL NAKIMOV     02007600003802
ELIMININATE-4       10000750000505
KRONSHTADT          05005700000804
ELIMININATE-5       10000750000503
ADMIRAL MARAKOV     02007600003805
MARSHAL VOROSHILOV  02007600003801
ADMIRAL OKTYABR'SKIY02007600003803
ADMIRAL ISACHENKOV  02007600003801
MARSHAL TIMOSENKO   02007600003805
ELIMINATE-6         09000950000601
ADMIRAL YUMASHEV    02007600003804
VASILIY CHAPAEV     06002400000785
SEVERODVINSK        04004000002001
KOMSOMOLSK          04004000002001
GORKI               04004000002001
CHEKOVIN            06002400000785
ELIMINATE-7         09000950000603
GROZNYY             02005600003751
ROPUCHKA            07013000002005
ADMIRAL GOLOVKO     02005600003751
VARYAG              02005600003754
KALINGRAD           04004000002005
RAZITEL'NYJ         04004000002005
ELIMINATE-8         09000950000601
NIKOLAYAEV          04004000002005
YAKOLEV             04004000002004
PETROVSKIY          07013000002005
IVAN ROGOV          07013000002005
ELIMINATE-9         09003499001601
